"Var1","Var2","List","Pairing","Cosine"
"bagel","spider","B","Unrelated",0.144977965343958
"cheetah","pipe","B","Unrelated",0.112364422102302
"deodorant","crab","B","Unrelated",0.100750283858194
"ginger","rope","B","Unrelated",0.118234658505804
"laptop","shovel","B","Unrelated",0.106572612064747
"pelican","toothbrush","B","Unrelated",0.0941619107507286
"toucan","plate","B","Unrelated",0.0954772519929751
"metronome","pickle","B","Unrelated",0.0979555886025369
"pliers","raisins","B","Unrelated",0.0907918133353968
"drill","fries","B","Unrelated",0.101965247220777
"mattress","potato","B","Unrelated",0.0939054597322773
"cello","pillow","B","Unrelated",0.0613858140637848
"paddle","cheese","B","Unrelated",0.117562779379342
"butterfly","webcam","B","Unrelated",0.12229350139891
"chalk","drum","B","Unrelated",0.115025307646006
"fridge","lipstick","B","Unrelated",0.139777716810875
"blender","spoon","B","Related",0.933276503095378
"armadillo","tarantula","B","Related",0.786440490959532
"porcupine","skunk","B","Related",0.706845164770069
"elbow","shoulder","B","Related",0.916527149216029
"moon","telescope","B","Related",0.734997646762469
"helmet","goggles","B","Related",0.756493856131025
"tambourine","saxophone","B","Related",0.754799006839263
"cherries","plum","B","Related",0.930563118606233
"barn","windmill","B","Related",0.623506064655184
"shoe","jeans","B","Related",0.824156279216413
"motorcycle","scooter","B","Related",0.785026917138856
"lime","walnut","B","Related",0.705917432168221
"vulture","ostrich","B","Related",0.621956316318125
"sock","wallet","B","Related",0.670998465670825
"elephant","giraffe","B","Related",0.881719254121027
"spinach","cucumber","B","Related",0.97570823546935
"bull","lion","B","Related",0.714257489699508
"accordion","banjo","B","Related",0.920450668531612
"pear","avocado","B","Related",0.85654701084457
"peeler","spatula","B","Related",0.690318951092083
"cabbage","lettuce","B","Related",0.983079552337283
"sushi","pizza","B","Related",0.840077242907552
"peach","strawberry","B","Related",0.875234831690828
"blueberry","melon","B","Related",0.848250960105266
"wrench","razor","B","Related",0.744874792541589
"macaroni","tortilla","B","Related",0.894321479304439
"knife","tongs","B","Related",0.801750981675635
"trumpet","piano","B","Related",0.879077490525291
"crayon","pencil","B","Related",0.897527632774877
"sink","towel","B","Related",0.779163922085762
"leek","mushroom","B","Related",0.846712177844132
"sponge","tweezers","B","Related",0.683487397069221
"dolphin","shark","B","Related",0.842719460783686
"wolf","tiger","B","Related",0.669718897370219
"chainsaw","hammer","B","Related",0.689715174251969
"garlic","onion","B","Related",0.992559802964971
"crocodile","snake","B","Related",0.827475716915244
"clipboard","folder","B","Related",0.831478443254641
"guitar","harmonica","B","Related",0.927233698744049
"cauliflower","tomato","B","Related",0.905606805566193
